3942-0,"CART. DE TONER COMP. COM PM CF226A M402N/M426DW 3,1K EVOLUT-.","2,00",PC,"55,00","57,12","110,00","48,07%"
,Total :,"32,00",,"39,84","616,83","1.275,00","51,62%"
10.113,CARTUCHO DE TONER | BROTHER,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
3462-0,CART. DE TONER COMP. COM BROTHER TN1060/DCP-1512/HL-1112 1K EVOLUT (CX C/ 20)-.,"10,00",PC,"25,00","101,52","250,00","59,39%"
3943-0,"CART. DE TONER COMP. COM BROTHER TN660/630/2340/2370 2,6K EVOLUT(CX C/ 10)-.","30,00",PC,"27,33","437,49","820,00","46,65%"
,Total :,"40,00",,"26,75","539,01","1.070,00","49,63%"
10.115,CARTUCHO DE TONER | SAMSUNG,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
3937-0,CART. DE TONER COMP. COM SAMSUNG D203 ML3320/3870/4070 15K EVOLUT (CX C/ 08)-.,"2,00",PC,"95,00","89,97","190,00","52,65%"
,Total :,"2,00",,"95,00","89,97","190,00","52,65%"
12.215,TONER | ASTON,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
10996-0,TONER ASTON P/USO EM PM AT220SG (435/436/285/2016/283/278/7553) 1KG BAG(CX C/20)-.,"1,00",KG,"80,00","43,52","80,00","45,60%"
,Total :,"1,00",,"80,00","43,52","80,00","45,60%"
19.22,TINTA | EPSON/BULK INK/100ML,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
10751-0,TINTA BULK INK SUBLIMATICA RZ290 BK 100ML (CX C/ 100)-.,"2,00",UN,"19,50","20,70","39,00","46,92%"
10752-0,TINTA BULK INK SUBLIMATICA RZ290 CYAN 100ML (CX C/ 100)-.,"4,00",UN,"19,75","37,68","79,00","52,30%"
10753-0,TINTA BULK INK SUBLIMATICA RZ290 MAGENTA 100ML (CX C/ 100)-.,"2,00",UN,"19,50","19,17","39,00","50,85%"
10754-0,TINTA BULK INK SUBLIMATICA RZ290 YELLOW 100ML (CX C/ 100)-.,"3,00",UN,"19,67","28,16","59,00","52,27%"
,Total :,"11,00",,"19,64","105,71","216,00","51,06%"
19.235,TINTA | A.T.INKS,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
12109-0,TINTA A.T.INKS DX ECO-SOL BLACK 500ML (GRF)-.,"5,00",UN,"195,00","587,60","975,00","39,73%"
12110-0,TINTA A.T.INKS DX ECO-SOL CYAN 500ML (GRF)-.,"8,00",UN,"195,00","1.007,96","1.560,00","35,39%"
12111-0,TINTA A.T.INKS DX ECO-SOL MAGENTA 500ML (GRF)-.,"4,00",UN,"195,00","503,98","780,00","35,39%"
12112-0,TINTA A.T.INKS DX ECO-SOL YELLOW 500ML (GRF)-.,"5,00",UN,"195,00","590,69","975,00","39,42%"
RMOV336 - Conferências de Saídas por Divisão de Produtos,Emissão:,05/12/2025 08:59,,h,Página :,0013/,73
